County,Date,Deaths
 Anderson County ,1999,11
 Anderson County ,2000,13
 Anderson County ,2001,9
 Anderson County ,2002,13
 Anderson County ,2003,16
 Anderson County ,2004,7
 Anderson County ,2005,13
 Anderson County ,2006,12
 Anderson County ,2007,9
 Anderson County ,2008,8
 Anderson County ,2009,9
 Anderson County ,2010,11
 Anderson County ,2011,10
 Anderson County ,2012,5
 Andrews County ,1999,9
 Andrews County ,2000,2
 Andrews County ,2001,2
 Andrews County ,2002,4
 Andrews County ,2003,1
 Andrews County ,2004,5
 Andrews County ,2005,6
 Andrews County ,2006,1
 Andrews County ,2007,3
 Andrews County ,2008,3
 Andrews County ,2009,3
 Andrews County ,2010,1
 Andrews County ,2011,4
 Andrews County ,2012,0
 Angelina County ,1999,22
 Angelina County ,2000,27
 Angelina County ,2001,25
 Angelina County ,2002,15
 Angelina County ,2003,17
 Angelina County ,2004,17
 Angelina County ,2005,15
 Angelina County ,2006,14
 Angelina County ,2007,19
 Angelina County ,2008,22
 Angelina County ,2009,13
 Angelina County ,2010,21
 Angelina County ,2011,12
 Angelina County ,2012,10
 Aransas County ,1999,13
 Aransas County ,2000,10
 Aransas County ,2001,7
 Aransas County ,2002,4
 Aransas County ,2003,6
 Aransas County ,2004,4
 Aransas County ,2005,6
 Aransas County ,2006,5
 Aransas County ,2007,5
 Aransas County ,2008,3
 Aransas County ,2009,1
 Aransas County ,2010,9
 Aransas County ,2011,4
 Aransas County ,2012,4
 Archer County ,1999,1
 Archer County ,2000,4
 Archer County ,2001,0
 Archer County ,2002,2
 Archer County ,2003,0
 Archer County ,2004,0
 Archer County ,2005,0
 Archer County ,2006,2
 Archer County ,2007,1
 Archer County ,2008,0
 Archer County ,2009,1
 Archer County ,2010,1
 Archer County ,2011,1
 Archer County ,2012,0
 Armstrong County ,1999,0
 Armstrong County ,2000,2
 Armstrong County ,2001,2
 Armstrong County ,2002,1
 Armstrong County ,2003,1
 Armstrong County ,2004,0
 Armstrong County ,2005,0
 Armstrong County ,2006,1
 Armstrong County ,2007,1
 Armstrong County ,2008,1
 Armstrong County ,2009,0
 Armstrong County ,2010,1
 Armstrong County ,2011,1
 Armstrong County ,2012,0
 Atascosa County ,1999,5
 Atascosa County ,2000,4
 Atascosa County ,2001,3
 Atascosa County ,2002,7
 Atascosa County ,2003,4
 Atascosa County ,2004,4
 Atascosa County ,2005,4
 Atascosa County ,2006,6
 Atascosa County ,2007,7
 Atascosa County ,2008,4
 Atascosa County ,2009,5
 Atascosa County ,2010,5
 Atascosa County ,2011,4
 Atascosa County ,2012,8
 Austin County ,1999,3
 Austin County ,2000,6
 Austin County ,2001,8
 Austin County ,2002,9
 Austin County ,2003,9
 Austin County ,2004,9
 Austin County ,2005,8
 Austin County ,2006,7
 Austin County ,2007,5
 Austin County ,2008,4
 Austin County ,2009,3
 Austin County ,2010,0
 Austin County ,2011,6
 Austin County ,2012,8
 Bailey County ,1999,4
 Bailey County ,2000,3
 Bailey County ,2001,5
 Bailey County ,2002,2
 Bailey County ,2003,4
 Bailey County ,2004,1
 Bailey County ,2005,1
 Bailey County ,2006,4
 Bailey County ,2007,2
